invoice_id,usage_start_date,usage_end_date,service_name,usage_type,unblended_cost,currency,resource_tags
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,28.99,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,71.25,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonRDS,RDS:Multi-AZUsage,94.48,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,18.81,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonEKS,EKS:PerCluster-Hours,125.16,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonEKS,EC2:CPU-Hours,17.96,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonS3,S3:Storage-GB,140.68,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AmazonS3,S3:Requests-Tier1,20.92,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AWSKMS,KMS:Requests,69.84,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-01 00:00:00,2025-07-01 23:59:59,AWSKMS,KMS:KeyUsage,119.98,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,135.57,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,115.8,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonRDS,RDS:Multi-AZUsage,44.61,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,16.31,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonEKS,EKS:PerCluster-Hours,106.97,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonEKS,EC2:CPU-Hours,23.59,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonS3,S3:Storage-GB,36.53,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AmazonS3,S3:Requests-Tier1,132.7,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AWSKMS,KMS:Requests,115.29,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-02 00:00:00,2025-07-02 23:59:59,AWSKMS,KMS:KeyUsage,32.63,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,65.76,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,66.15,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonRDS,RDS:Multi-AZUsage,108.15,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,74.46,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonEKS,EKS:PerCluster-Hours,73.08,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonEKS,EC2:CPU-Hours,18.89,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonS3,S3:Storage-GB,56.68,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AmazonS3,S3:Requests-Tier1,44.98,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AWSKMS,KMS:Requests,11.02,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-03 00:00:00,2025-07-03 23:59:59,AWSKMS,KMS:KeyUsage,94.19,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,137.6,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,58.43,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonRDS,RDS:Multi-AZUsage,98.57,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,74.68,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonEKS,EKS:PerCluster-Hours,148.1,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonEKS,EC2:CPU-Hours,141.81,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonS3,S3:Storage-GB,110.96,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AmazonS3,S3:Requests-Tier1,40.61,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AWSKMS,KMS:Requests,108.57,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-04 00:00:00,2025-07-04 23:59:59,AWSKMS,KMS:KeyUsage,88.7,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,116.9,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,120.08,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonRDS,RDS:Multi-AZUsage,95.13,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,137.29,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonEKS,EKS:PerCluster-Hours,109.16,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonEKS,EC2:CPU-Hours,75.59,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonS3,S3:Storage-GB,113.55,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AmazonS3,S3:Requests-Tier1,52.75,USD,"{""Application"":""Shared"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AWSKMS,KMS:Requests,148.93,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-05 00:00:00,2025-07-05 23:59:59,AWSKMS,KMS:KeyUsage,8.43,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonEC2,USE1-BoxUsage:t3.medium,52.01,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonEC2,EBS:VolumeUsage.gp2,115.53,USD,"{""Application"":""AppA"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonRDS,RDS:Multi-AZUsage,145.82,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonRDS,RDS:StorageUsage.gp2,59.03,USD,"{""Application"":""AppB"",""Environment"":""Prod""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonEKS,EKS:PerCluster-Hours,12.14,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
INV-2025-07,2025-07-06 00:00:00,2025-07-06 23:59:59,AmazonEKS,EC2:CPU-Hours,54.63,USD,"{""Application"":""AppC"",""Environment"":""Dev""}"
